Name,ScorePct,Score,Price,
AMD EPYC 9654,86%,126045,7120.00,
AMD Ryzen Threadripper PRO 5995WX,66%,96318,7010.01,
AMD EPYC 7773X,62%,90731,4150.00,
AMD EPYC 7763,59%,85944,4012.00,
AMD EPYC 7J13,59%,85661,
AMD EPYC 7713,58%,85165,3499.99,
AMD EPYC 7713P,57%,83439,4550.00,
AMD Ryzen Threadripper PRO 3995WX,57%,83097,6699.95,
AMD EPYC 7V13,57%,82878,
AMD Ryzen Threadripper 3990X,55%,81112,4999.99,
AMD EPYC 9354P,54%,79341,
AMD EPYC 7B13,53%,77460,
AMD EPYC 7643,52%,76455,4550.00*,
AMD Ryzen Threadripper PRO 5975WX,52%,76434,3199.99,
AMD EPYC 7T83,51%,74892,
AMD EPYC 7662,50%,73143,3999.99*,
AMD EPYC 7702,48%,70628,1995.00,
AMD EPYC 75F3,47%,68505,4309.88,
AMD EPYC 7543P,46%,67081,2350.00*,
AMD Ryzen Threadripper PRO 5965WX,45%,66337,2199.99,
AMD EPYC 7742,45%,65629,2098.00,
AMD EPYC 7R32,44%,64727,
AMD Ryzen 9 7950X3D,44%,64186,1244.00,
AMD Ryzen 9 7950X,43%,63510,578.99,
AMD Ryzen Threadripper 3970X,43%,63479,2547.98,
AMD Ryzen Threadripper PRO 3975WX,43%,62862,3400.00,
Intel Xeon Platinum 8380 @ 2.30GHz,42%,62318,8978.00*,
Intel Core i9-13900KS,42%,62281,766.49,
AMD EPYC 7702P,42%,62007,1898.30,
AMD EPYC 7642,42%,61573,1830.00,
AMD EPYC 74F3,41%,60587,3100.00,
Intel Core i9-13900K,41%,60087,569.99,
AMD EPYC 7513,41%,59988,2840.00*,
AMD Ryzen 9 7945HX,41%,59824,
Intel Core i9-13900KF,41%,59620,568.74,
Intel Xeon W-3365 @ 2.70GHz,40%,59038,3851.00*,
AMD EPYC 7443P,39%,57613,1683.99*,
AMD EPYC 7542,39%,56728,1298.16,
AMD EPYC 7543,39%,56562,3761.00*,
Intel Xeon W-3375 @ 2.50GHz,38%,56403,4499.00*,
Intel Core i9-13900F,38%,55897,559.99,
AMD Ryzen Threadripper 3960X,37%,54797,1299.97,
AMD EPYC 7532,37%,54670,2406.99,
Intel Xeon Platinum 8358 @ 2.60GHz,37%,54416,5097.75*,
Intel Xeon Gold 6348 @ 2.60GHz,36%,52276,2080.00,
AMD Ryzen 9 7900X,36%,52258,432.00,
Intel Xeon Platinum 8375C @ 2.90GHz,35%,51836,
AMD EPYC 7443,35%,51764,2230.99*,
AMD Ryzen 9 7900X3D,35%,51547,589.99,
Intel Xeon Gold 6314U @ 2.30GHz,35%,51014,2782.00*,
Intel Core i9-13900,34%,50519,579.99,
AMD EPYC 7413,34%,50223,1997.99*,
AMD EPYC 7453,34%,50209,2610.00,
AMD Ryzen Threadripper PRO 5955WX,34%,49585,1299.00,
Intel Core i9-13980HX,34%,49457,668.00*,
Intel Xeon Platinum 8347C @ 2.10GHz,34%,49386,
AMD EPYC 7502P,33%,49191,1699.87,
AMD EPYC 7502,33%,49178,1230.00,
AMD Ryzen 9 7900,33%,49047,429.00,
AMD EPYC 7R12,33%,48934,
Intel Xeon W-3345 @ 3.00GHz,33%,48261,2499.00*,
AMD EPYC 7402,32%,47668,1520.00,
Intel Xeon Gold 6342 @ 2.80GHz,32%,47320,3272.00*,
Intel Core i7-13700K,32%,47046,417.94,
Intel Core i7-13700KF,32%,46796,396.98,
Intel Xeon Gold 6338N @ 2.20GHz,32%,46583,4671.69*,
AMD Ryzen 9 7845HX,32%,46456,
Intel Core i9-13900HX,31%,46383,668.00*,
ARM Neoverse-N1 128 Core 3000 MHz,31%,46271,
AMD EPYC 73F3,31%,46085,3977.49,
AMD Ryzen 9 5950X,31%,45896,456.99,
Intel Xeon Gold 6336Y @ 2.40GHz,31%,45517,2857.95*,
AMD EPYC 7343,30%,44930,1699.99*,
Intel Core i9-12900KS,30%,44537,512.99,
Intel Xeon Gold 6312U @ 2.40GHz,30%,44275,1809.59*,
Intel Core i9-13900T,30%,44273,549.00*,
ARM Neoverse-N1 128 Core 2800 MHz,29%,43111,
Intel Xeon Gold 6330 @ 2.00GHz,29%,43056,1315.00,
AMD EPYC 7601,29%,42244,875.87,
Intel Core i9-13950HX,29%,42211,590.00*,
Intel Core i7-13700F,29%,42166,369.97,
AMD EPYC 7313P,29%,42057,913.00*,
AMD EPYC 7402P,28%,42019,888.86,
AMD EPYC 7452,28%,41871,2118.00,
Intel Core i9-12900K,28%,41587,427.99,
Intel Xeon Gold 6354 @ 3.00GHz,28%,41445,2757.99*,
Intel Core i9-12900KF,28%,41384,399.99,
AMD EPYC 7551P,28%,41150,368.51,
AMD EPYC 7F52,28%,41023,3100.00*,
Apple M1 Ultra 20 Core,28%,40923,
