Type,Name,ScorePct,X-Platform-Score,
Desktop,AMD Ryzen 9 7950X,(86%),149092,
Desktop,AMD Ryzen 9 7900X,(67%),115729,
Desktop,AMD Ryzen 9 5950X,(58%),99779,
Desktop,AMD Ryzen 9 3950X,(50%),86654,
Desktop,AMD Ryzen 9 5900X,(47%),82278,
Desktop,AMD Ryzen 7 7700X,(43%),75005,
Desktop,AMD Ryzen 9 3900XT,(39%),67333,
Desktop,AMD Ryzen 9 3900X,(39%),66961,
Desktop,AMD Ryzen 5 7600X,(33%),58017,
Desktop,AMD Ryzen 7 5800X,(31%),53475,
Desktop,AMD Ryzen 7 5800X3D,(30%),53094,
Desktop,AMD Ryzen 7 5700X,(30%),52497,
Desktop,Intel Core i9-10900K @ 3.70GHz,(29%),49909,
Desktop,Intel Core i9-11900K @ 3.50GHz,(28%),49211,
Desktop,Intel Core i9-10850K @ 3.60GHz,(28%),48995,
Desktop,Intel Core i7-11700K @ 3.60GHz,(27%),47872,
Laptop,Intel Core i7-11800H @ 2.30GHz,(26%),45363,
Desktop,AMD Ryzen 7 5700G,(26%),45313,
Desktop,AMD Ryzen 7 3800X,(25%),43760,
Desktop,AMD Ryzen 7 3700X,(25%),42987,
Desktop,AMD Ryzen 5 5600X,(24%),41846,
Laptop,AMD Ryzen 7 6800H,(24%),41839,
Desktop,Intel Core i7-11700F @ 2.50GHz,(24%),41602,
Desktop,AMD Ryzen 5 5600,(24%),41316,
Laptop,AMD Ryzen 9 5900HX,(23%),40932,
Desktop,Intel Core i7-10700K @ 3.80GHz,(23%),39948,
Laptop,AMD Ryzen 7 5800H,(22%),38780,
Desktop,Intel Core i9-9900KF @ 3.60GHz,(22%),38612,
Desktop,Intel Core i9-9900K @ 3.60GHz,(22%),38416,
Desktop,Intel Core i5-12400F,(21%),37182,
Desktop,Intel Core i5-12400,(21%),37054,
Desktop,Intel Core i5-11600K @ 3.90GHz,(21%),36172,
iOS,Apple iPad144,(21%),36124,
Desktop,AMD Ryzen 5 5600G,(21%),36049,
Desktop,Intel Core i7-10700 @ 2.90GHz,(20%),35948,
Desktop,Intel Core i7-10700F @ 2.90GHz,(20%),35917,
iOS,Apple iPad145,(20%),35731,
iOS,Apple iPad146,(20%),35539,
Desktop,AMD Ryzen 5 5500,(20%),35520,
iOS,Apple iPad143,(20%),35417,
Desktop,AMD Ryzen 5 3600XT,(20%),34786,
Desktop,AMD Ryzen 5 3600X,(19%),33695,
iOS,Apple iPad Pro 12.9 3nd Gen (WiFi 6GB RAM),(19%),33139,
Desktop,AMD Ryzen 7 2700X,(19%),33012,
Desktop,AMD Ryzen 5 3600,(19%),32867,
Laptop,Intel Core i7-10875H @ 2.30GHz,(18%),32475,
Desktop,Intel Core i5-11400 @ 2.60GHz,(18%),32082,
Desktop,Intel Core i5-11400F @ 2.60GHz,(18%),32033,
Laptop,Intel Core i5-11400H @ 2.70GHz,(18%),31860,
Laptop,AMD Ryzen 5 5600H,(18%),31301,
iOS,Apple iPad Air 5 (WiFi),(18%),31287,
iOS,Apple iPad Pro 11.0 3rd Gen (Cellular),(18%),31284,
iOS,Apple iPad Pro 12.9 5th Gen (WiFi),(18%),31168,
iOS,Apple iPad Pro 12.9 5th Gen (Cellular),(18%),31160,
iOS,Apple iPad Pro 11.0 3rd Gen (WiFi),(18%),31089,
iOS,Apple iPad Air 5 (Cellular),(17%),29202,
Desktop,AMD Ryzen 7 2700,(17%),29187,
Desktop,Intel Core i5-10600K @ 4.10GHz,(16%),28771,
Desktop,AMD Ryzen 7 1700,(16%),27471,
Desktop,Intel Core i7-8700K @ 3.70GHz,(15%),27170,
Desktop,Intel Core i7-9700K @ 3.60GHz,(15%),26946,
Desktop,AMD Ryzen 5 2600X,(15%),26842,
Laptop,AMD Ryzen 7 4800H,(15%),26396,
Desktop,Intel Core i3-12100F,(15%),25968,
Desktop,Intel Core i7-8700 @ 3.20GHz,(15%),25746,
Desktop,AMD Ryzen 5 3500X,(14%),25358,
Desktop,AMD Ryzen 5 2600,(14%),25353,
Desktop,Intel Core i7-9700 @ 3.00GHz,(14%),24729,
Desktop,Intel Core i5-10400F @ 2.90GHz,(14%),24582,
Laptop,Intel Core i7-10750H @ 2.60GHz,(14%),24475,
Desktop,Intel Core i5-10400 @ 2.90GHz,(14%),24449,
Desktop,AMD Ryzen 5 1600,(13%),23609,
iOS,Apple iPhone 14 Pro Max,(13%),23009,
iOS,Apple iPhone 14 Pro,(13%),22973,
Laptop,AMD Ryzen 7 5700U,(13%),22898,
Android,Google brya,(13%),22423,
Laptop,Intel Core i7-9750H @ 2.60GHz,(13%),22398,
Android,Nubia NX729J,(12%),22090,
Android,Samsung SM-S916U,(12%),22088,
Android,Samsung SM-S916B,(12%),21784,
Android,OnePlus CPH2451,(12%),21572,
Laptop,AMD Ryzen 7 4700U,(12%),21500,
Android,Samsung Galaxy S23 Ultra,(12%),21341,
Laptop,AMD Ryzen 5 4600H,(12%),21329,
Android,OnePlus CPH2449,(12%),21289,
iOS,Apple iPhone 13 Pro Max,(12%),21097,
Android,Samsung Galaxy S23,(12%),21094,
iOS,Apple iPhone 13 Pro,(12%),21092,
iOS,Apple iPhone 14,(12%),20978,
iOS,Apple iPhone 14 Plus,(12%),20957,
iOS,Apple iPhone SE 3rd Gen,(12%),20672,
iOS,Apple iPhone 13,(11%),20549,
Desktop,Intel Core i5-9600K @ 3.70GHz,(11%),20497,
Desktop,Intel Core i5-9600KF @ 3.70GHz,(11%),20420,
Android,OnePlus CPH2447,(11%),20387,
iOS,Apple iPad Mini 6 (WiFi),(11%),20251,
Android,Xiaomi 2210132G,(11%),20066,
Desktop,AMD Ryzen 3 3100,(11%),19997,
Laptop,AMD Ryzen 5 5500U,(11%),19982,
Laptop,Intel Core i7-1185G7 @ 3.00GHz,(11%),19964,
Android,OPPO Find X2,(11%),19826,
Laptop,Intel Core i7-1165G7 @ 2.80GHz,(11%),19802,
iOS,Apple iPad Pro 11.0 (WiFi 6GB RAM),(11%),19638,
iOS,Apple iPhone 13 Mini,(11%),19492,
Desktop,Intel Core i5-8600K @ 3.60GHz,(11%),19452,
iOS,Apple iPad Mini 6 (Cellular),(11%),19451,
iOS,Apple iPad Pro 12.9 3nd Gen (Cellular 6GB RAM),(11%),19346,
iOS,Apple iPad Pro 11.0 (Cellular 6GB RAM),(11%),19236,
iOS,Apple iPad Pro 12.9 4th Gen (Cellular),(11%),19187,
iOS,Apple iPad Pro 11.0 2nd Gen (Cellular),(11%),19165,
iOS,Apple iPad Pro 12.9 3nd Gen (Cellular),(11%),19106,
iOS,Apple iPad Pro 12.9 4th Gen (WiFi),(11%),19085,
iOS,Apple iPad Pro 11.0 (WiFi),(11%),18983,
iOS,Apple iPad Air 4 (WiFi),(11%),18949,
iOS,Apple iPad Air 4 (Cellular),(11%),18927,
iOS,Apple iPad Pro 11.0 (Cellular),(11%),18894,
iOS,Apple iPad Pro 11.0 2nd Gen (WiFi),(10%),18786,
Laptop,Intel Core i7-8750H @ 2.20GHz,(10%),18723,
iOS,Apple iPad Pro 12.9 3nd Gen (WiFi),(10%),18677,
iOS,Apple iPad1318,(10%),18666,
Laptop,Intel Core i5-1135G7 @ 2.40GHz,(10%),18345,
Desktop,Intel Core i7-7700K @ 4.20GHz,(10%),18212,
iOS,Apple iPhone 12 Pro Max,(10%),18182,
Laptop,AMD Ryzen 5 4500U,(10%),18099,
Android,Nubia NX709S,(10%),18010,
iOS,Apple iPhone 12,(10%),17924,
Desktop,Intel Core i5-9400F @ 2.90GHz,(10%),17918,
iOS,Apple iPhone 12 Pro,(10%),17803,
Android,Samsung SM-S908N,(10%),17785,
Android,Samsung SM-F721U,(10%),17732,
Desktop,Intel Core i5-8500 @ 3.00GHz,(10%),17727,
Desktop,Intel Core i5-9400 @ 2.90GHz,(10%),17677,
Android,Samsung SM-F936U,(10%),17530,
Desktop,Intel Core i5-8400 @ 2.80GHz,(10%),17502,
Android,Samsung SM-F721B,(10%),17239,
Android,Samsung SM-F936B,(10%),17152,
Android,motorola edge 30 ultra,(9%),17128,
Desktop,Intel Core i7-6700K @ 4.00GHz,(9%),17043,
Desktop,Intel Core i7-4790K @ 4.00GHz,(9%),17034,
Android,Asus ASUS_AI2201_C,(9%),16792,
Android,Asus ASUS_AI2202,(9%),16759,
