Name,ScorePct,Score,Price,
GeForce RTX 4090, (86%),39538,1599.99,
GeForce RTX 4080, (77%),35411,1189.00,
GeForce RTX 4070 Ti, (70%),31911,819.99,
Radeon RX 7900 XTX, (70%),31872,1089.99,
GeForce RTX 4090 Laptop GPU, (68%),30953,NA,
GeForce RTX 3090 Ti, (65%),29887,1499.99*,
Radeon RX 7900 XT, (64%),29107,819.99,
Radeon RX 6950 XT, (63%),29036,699.99,
GeForce RTX 3080 Ti, (60%),27411,1088.44,
Radeon RX 6900 XT, (59%),26946,649.99,
GeForce RTX 3090, (59%),26941,1762.99,
GeForce RTX 3080 12GB, (58%),26802,NA,
GeForce RTX 4080 Laptop GPU, (58%),26507,NA,
GeForce RTX 3080, (55%),25415,1349.99,
Radeon RX 6800 XT, (54%),24944,569.99,
RTX 6000 Ada Generation, (54%),24805,NA,
GeForce RTX 3070 Ti, (52%),23820,599.99,
RTX A5000, (51%),23316,2141.99*,
RTX A6000, (50%),22734,4693.98,
GeForce RTX 3070, (49%),22477,547.86,
Radeon RX 6800, (48%),22277,487.99,
GeForce RTX 2080 Ti, (48%),21896,1124.99*,
Radeon RX 6750 XT, (47%),21647,379.99,
GeForce RTX 4070 Laptop GPU, (46%),21368,NA,
RTX A4500, (46%),20944,1079.99*,
GeForce RTX 3060 Ti, (45%),20615,399.99,
NVIDIA A10, (45%),20591,NA,
GeForce RTX 3080 Ti Laptop GPU, (45%),20496,NA,
Quadro GV100, (44%),20132,8999.00*,
TITAN RTX, (43%),19859,2794.99*,
Radeon RX 6700 XT, (43%),19785,369.99,
Quadro RTX 8000, (43%),19750,4741.49*,
GeForce RTX 2080 SUPER, (43%),19580,740.99*,
TITAN V, (42%),19418,1999.99*,
RTX A5500, (42%),19241,2169.99*,
GeForce RTX 4060 Laptop GPU, (42%),19203,NA,
Quadro RTX 6000, (42%),19198,6300.00*,
Radeon PRO W6800, (42%),19192,1849.99*,
Radeon RX 6700, (42%),19174,NA,
NVIDIA TITAN Xp, (42%),19164,1645.00*,
TITAN Xp COLLECTORS EDITION, (42%),19129,NA,
RTX A4000, (41%),18995,749.99*,
Radeon RX 6850M XT, (41%),18856,NA,
GeForce RTX 2080, (41%),18798,797.05*,
NVIDIA A10G, (41%),18724,NA,
GeForce GTX 1080 Ti, (40%),18498,483.82*,
GeForce RTX 3070 Ti Laptop GPU, (40%),18487,NA,
RTX A5500 Laptop GPU, (40%),18417,NA,
GeForce RTX 2070 SUPER, (40%),18245,618.47*,
RTX A4500 Laptop GPU, (40%),18199,NA,
A40-48Q, (39%),17864,NA,
Radeon RX 6650 XT, (39%),17762,279.99,
Radeon Pro W5700X, (38%),17591,NA,
Radeon RX 6600S, (38%),17368,NA,
GeForce RTX 3060, (37%),17180,339.99,
TITAN V CEO Edition, (37%),16988,NA,
Radeon RX 5700 XT, (37%),16964,459.99*,
Tesla P40, (37%),16864,NA,
Radeon Pro VII, (37%),16853,NA,
Radeon VII, (37%),16843,1899.95*,
GeForce RTX 3080 Laptop GPU, (36%),16746,NA,
GeForce RTX 2060 SUPER, (36%),16605,395.99,
Radeon RX 5700 XT 50th Anniversary, (36%),16587,NA,
Radeon RX 6600 XT, (36%),16411,299.99,
Tesla V100-SXM2-16GB, (35%),16235,NA,
Quadro RTX 5000, (35%),16167,NA,
GeForce RTX 2070, (35%),16152,269.99*,
RTX A5000 Laptop GPU, (35%),16045,NA,
Radeon Pro Vega II Duo, (35%),15977,NA,
Miracast display port driver V3, (34%),15910,NA,
GeForce RTX 2060 12GB, (34%),15823,NA,
RTX A4000 Laptop GPU, (34%),15804,NA,
Radeon Pro W5700, (34%),15658,649.99*,
Quadro P6000, (34%),15620,3250.00*,
Quadro GP100, (34%),15608,NA,
Radeon Pro Vega II, (34%),15592,NA,
GeForce RTX 3070 Laptop GPU, (34%),15552,NA,
Quadro RTX 4000, (34%),15460,899.00*,
GeForce GTX 1080, (33%),15448,442.79*,
Radeon PRO W6600, (33%),15343,NA,
GeForce RTX 2080 (Mobile), (33%),15107,NA,
Radeon RX 6600, (33%),15106,329.00*,
Radeon RX 6800S, (33%),15049,NA,
RTX A3000 12GB Laptop GPU, (32%),14948,NA,
GeForce RTX 4050 Laptop GPU, (32%),14861,NA,
Quadro RTX 5000 (Mobile), (32%),14832,NA,
Radeon RX 5700, (32%),14724,309.99*,
GeForce GTX 1070 Ti, (32%),14689,578.40*,
Radeon RX Vega 64, (32%),14653,749.99*,
Radeon Pro Vega 64X, (32%),14631,NA,
Radeon RX 6700S, (31%),14105,NA,
Radeon 6700, (30%),14085,NA,
GeForce RTX 2060, (30%),14080,292.99,
GeForce RTX 2070 Super with Max-Q Design, (30%),14058,NA,
RTX A2000 12GB, (30%),14016,NA,
Quadro RTX 5000 with Max-Q Design, (30%),13931,NA,
Radeon Pro WX 8200, (30%),13926,1599.39*,
GeForce GTX 980 Ti, (30%),13876,787.70,
RTX A2000, (30%),13875,439.99,
Radeon RX 5600 XT, (30%),13827,545.00*,
NVIDIA TITAN X, (30%),13660,608.10*,
Radeon Vega Frontier Edition, (30%),13658,1679.99*,
GeForce RTX 2080 Super with Max-Q Design, (30%),13650,NA,
Radeon RX Vega 56, (29%),13632,752.99*,
GeForce GTX 1070, (29%),13526,488.09*,
Radeon Pro WX 9100, (29%),13494,NA,
Radeon RX 6700M, (29%),13430,329.99,
GeForce RTX 3060 Laptop GPU, (29%),13278,309.99*,
GeForce RTX 2080 with Max-Q Design, (29%),13233,2099.99*,
GeForce GTX TITAN X, (28%),13171,1096.99*,
Radeon PRO W6600X, (28%),13113,NA,
Radeon RX 6600M, (28%),13052,229.99,
Quadro RTX 4000 with Max-Q Design, (28%),13029,NA,
GeForce RTX 3050, (28%),12981,267.73,
GeForce GTX 1660 Ti, (28%),12930,217.81,
Radeon Pro Vega 64, (28%),12919,NA,
Radeon RX 6650M, (28%),12880,NA,
Quadro P5200, (28%),12811,NA,
GeForce GTX 1660 SUPER, (28%),12806,253.84,
Radeon RX 5600 OEM, (28%),12738,NA,
Radeon Pro 5700 XT, (27%),12687,NA,
Quadro P5200 with Max-Q Design, (27%),12659,NA,
Tesla T10, (27%),12650,NA,
Radeon Pro Vega 56, (27%),12607,NA,
RTX A3000 Laptop GPU, (27%),12580,NA,
Radeon RX 6800M, (27%),12545,NA,
Quadro P4200 with Max-Q Design, (27%),12406,NA,
Quadro RTX 4000 (Mobile), (27%),12402,NA,
GeForce RTX 2070 (Mobile), (27%),12354,NA,
Radeon RX 6850M, (26%),12274,NA,
Radeon Pro V520 MxGPU, (26%),12258,NA,
Quadro P5000, (26%),12198,1868.99*,
Quadro M6000, (26%),12014,4827.53*,
GeForce RTX 2070 with Max-Q Design, (26%),11904,NA,
Quadro M6000 24GB, (26%),11879,NA,
Radeon Pro 5700, (26%),11844,NA,
GeForce RTX 3050 OEM, (25%),11776,NA,
GeForce GTX 1660, (25%),11748,249.99,
Radeon Ryzen 7 6800HS, (25%),11553,NA,
GeForce GTX 1080 with Max-Q Design, (25%),11480,NA,
Quadro P4000, (25%),11472,556.19*,
Radeon RX 5600, (25%),11430,NA,
GeForce RTX 2060 (Mobile), (24%),11355,NA,
Radeon Pro Vega 48, (24%),11353,NA,
GeForce GTX 980, (24%),11154,247.35*,
Quadro RTX 3000, (24%),11096,NA,
RTX A1000 Embedded GPU, (24%),11047,NA,
GRID P40-12Q, (24%),11028,NA,
RTX A2000 8GB Laptop GPU, (23%),10894,NA,
Tesla T4, (23%),10757,4646.99,
Radeon Pro SSG, (23%),10498,2410.15*,
Tesla M40 24GB, (23%),10475,NA,
GeForce GTX 1070 (Mobile), (23%),10465,NA,
Quadro P4200, (22%),10343,NA,
Tesla M40, (22%),10194,600.00*,
GeForce GTX 1660 Ti (Mobile), (22%),10149,NA,
RTX A2000 Laptop GPU, (22%),10098,NA,
GeForce GTX 1650 SUPER, (22%),10091,283.03,
GeForce GTX 1060, (22%),10072,279.99*,
GeForce GTX 1070 with Max-Q Design, (22%),10067,NA,
Radeon R9 Fury X, (22%),10056,NA,
GeForce RTX 3050 Ti Laptop GPU, (22%),10045,NA,
GeForce RTX 2060 with Max-Q Design, (21%),9766,NA,
Radeon R9 Fury + Fury X, (21%),9741,449.99*,
GeForce GTX 1060 3GB, (21%),9729,269.99*,
GeForce GTX 970, (21%),9637,237.99*,
Radeon RX 590, (21%),9602,549.99*,
Radeon R9 Fury, (21%),9584,443.10*,
Radeon Ryzen 9 4900HSS, (20%),9461,NA,
Radeon R9 390X, (20%),9446,NA,
Radeon RX 6500 XT, (20%),9444,159.99,
GeForce GTX 780 Ti, (20%),9418,339.99*,
Quadro P2200, (20%),9397,459.80*,
RTX A1000 Laptop GPU, (20%),9391,NA,
Radeon Ryzen 9 7950X 16-Core, (20%),9346,NA,
Quadro P3200 with Max-Q Design, (20%),9299,NA,
GeForce RTX 3050 Laptop GPU, (20%),9291,269.99*,
Radeon Pro 5600M, (20%),9281,NA,
Radeon RX 5500 XT, (20%),9218,184.99*,
Radeon Pro W5500, (20%),9215,409.99*,
Quadro M5000, (20%),9189,499.00*,
NVIDIA A40, (20%),9170,NA,
Quadro P4000 with Max-Q Design, (19%),9083,NA,
Radeon R9 390, (19%),9066,NA,
GeForce GTX TITAN Black, (19%),9057,524.99*,
GeForce GTX TITAN Z, (19%),8987,1515.00*,
Radeon RX 580, (19%),8920,179.99*,
GeForce GTX 1060 5GB, (19%),8877,487.99*,
Radeon RX 5500, (19%),8796,NA,
Radeon R9 290X, (19%),8756,NA,
Intel Arc A770, (19%),8744,349.00,
GeForce GTX 1660 Ti with Max-Q Design, (19%),8701,NA,
Radeon RX 480, (19%),8701,339.99*,
Radeon R9 295X2, (18%),8638,499.10*,
Quadro RTX 3000 with Max-Q Design, (18%),8622,NA,
Radeon Ryzen 9 4900HS, (18%),8572,NA,
Quadro P3200, (18%),8516,389.30*,
Tesla P4, (18%),8490,NA,
Radeon RX590 GME, (18%),8486,NA,
Radeon R9 290, (18%),8408,NA,
Intel Arc A750, (18%),8391,249.99*,
Radeon R9 290X / 390X, (18%),8389,319.99*,
Radeon Pro 5500 XT, (18%),8365,NA,
Radeon Pro Duo, (18%),8294,1199.06*,
GeForce GTX Titan, (18%),8202,745.00*,
GeForce GTX 1060 (Mobile), (17%),8161,NA,
Radeon R9 290 / 390, (17%),8150,380.00*,
Quadro K6000, (17%),8106,210.66*,
Radeon RX 470/570, (17%),8089,388.99*,
GeForce GTX 780, (17%),8034,279.99*,
Ryzen 9 6900HS, (17%),8005,NA,
Radeon Pro WX 7100, (17%),7971,1047.99*,
GeForce GTX 1060 with Max-Q Design, (17%),7952,NA,
Ryzen 5 4600HS with Radeon Graphics, (17%),7942,NA,
FirePro W9100, (17%),7928,1729.99*,
Quadro M5500, (17%),7915,NA,
Radeon RX 580 2048SP, (17%),7889,NA,
Radeon RX 6500M, (17%),7862,NA,
GeForce GTX 1650, (17%),7838,169.99,
Radeon RX 580X, (17%),7798,NA,
Tesla M60, (17%),7771,787.90*,
Radeon Pro 580, (17%),7753,NA,
T1200 Laptop GPU, (17%),7735,NA,
GeForce RTX 3050 4GB Laptop GPU, (17%),7735,NA,
T1000, (16%),7707,342.99,
Radeon RX 5600M, (16%),7706,NA,
T1000 8GB, (16%),7585,NA,
Radeon Pro 580X, (16%),7540,NA,
Radeon RX 5300, (16%),7538,NA,
GeForce GTX 1650 Ti, (16%),7534,NA,
Tesla M6, (16%),7509,199.00*,
Radeon Pro 5300, (16%),7493,NA,
Radeon PRO W6400, (16%),7423,NA,
Radeon RX 6400, (16%),7397,183.43,
Radeon Ryzen 7 4800HS, (16%),7362,NA,
GeForce GTX 980M, (16%),7343,289.99*,
FirePro W8100, (16%),7313,704.00*,
Intel Arc A770M, (16%),7287,NA,
Tesla P100-PCIE-16GB, (15%),7225,NA,
Quadro T2000, (15%),7155,528.35*,
Quadro P2000, (15%),7051,459.99*,
Tesla K80, (15%),7025,593.95*,
